Scraped At,Top Section,Subcategory,Product Name,Brand (heuristic/listing),Price,Original Price,Discount,Rating (listing),Rating (detail),Reviews Count (listing),Reviews Count (detail),Target Audience,Availability,Seller,Product URL,Image URL (listing),Image URLs (detail),Short Description,Full Description,Breadcrumb,Page
2026-06-01 11:52:01,Accessories,(All),HARSH NARROW FEB Black Plastic Storage Racks ( Pack of 1 ),HARSH,Rs. 262,"Rs. 1,299",80% Off,(53),3.9,53,0,Unspecified,In Stock,,https://www.snapdeal.com/product/harsh-narrow-feb-black-plastic/640676287672,,"https://g.sdlcdn.com/imgs/l/i/d/HARSH-NARROW-FEB-Black-Plastic-SDL367369075-1-410ca.png, https://g.sdlcdn.com/imgs/l/i/d/HARSH-NARROW-FEB-Black-Plastic-SDL367369075-2-8f5ef.png, https://g.sdlcdn.com/imgs/l/i/d/HARSH-NARROW-FEB-Black-Plastic-SDL367369075-3-fd710.png, https://g.sdlcdn.com/imgs/l/i/d/HARSH-NARROW-FEB-Black-Plastic-SDL367369075-4-1017e.png, https://g.sdlcdn.com/imgs/l/i/d/HARSH-NARROW-FEB-Black-Plastic-SDL367369075-5-136b3.jpeg",,"HARSH NARROW FEB
Type:Storage Racks
Material:Plastic
Color:Black
No. Of Compartment:Above 5
Assembly Instructions:DIY Easy Install
Weight Carrying Capacity (g):6000
Handling & Care Instructions:Wipe with a damp cloth; keep away from direct fire.
Warranty:Not Available
Product Height (cm):5
Product Length (cm):40
Product Width (cm):5
Product Weight (g):350
Box Content:1 Wall mounted Rack, Accessories
Key Features:Wall Mount
Pack:Pack of 1
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:PRB001
SUPC: SDL367369075",,1
2026-06-01 11:52:05,Accessories,(All),Digital Car Dashboard Alarm Clock and Stopwatch With Flexible Stand,Digital,Rs. 180,Rs. 399,55% Off,(3087),4.1,3087,0,Unspecified,In Stock,,https://www.snapdeal.com/product/autosun-taksun-car-dashboard-office/1418089210,,https://g.sdlcdn.com/imgs/a/j/v/AutoSun-Taksun-Car-Dashboard-Office-SDL970878094-1-30b97.jpg,,"Battery Operated Digital LCD Alarm Clock
Stopwatch Functionality
Small and Compact
Durable Plastic Material Construction
SUPC: SDL970878094",,1
2026-06-01 11:52:09,Accessories,(All),"Bathroom Shelf for Wall, Self-Adhesive Bathroom Organiser with Towel Holder, Ideal Bathroom Accessories for Efficient Space Utilisation (2 Bathroom Shelves",Bathroom,Rs. 166,Rs. 599,72% Off,(123),4.0,123,0,Unspecified,In Stock,,https://www.snapdeal.com/product/bathroom-shelf-for-wall-selfadhesive/628692408031,,"https://g.sdlcdn.com/imgs/k/5/m/Bathroom-Shelf-for-Wall-Self-SDL331879411-1-21866.jpg, https://g.sdlcdn.com/imgs/k/5/m/Bathroom-Shelf-for-Wall-Self-SDL331879411-2-4cf36.jpg, https://g.sdlcdn.com/imgs/k/5/m/Bathroom-Shelf-for-Wall-Self-SDL331879411-3-fd336.jpg, https://g.sdlcdn.com/imgs/k/5/m/Bathroom-Shelf-for-Wall-Self-SDL331879411-4-06d6f.png",,"JAGIRA DIVINE TOUCH
Type:Bathroom Cabinets & Shelves
Material:Plastic
Hanging:Yes
No. of Pieces:2
Product Weight (kg):0.25
Box Contents:1
Holder Type:Shelves
Pack:Pack of 2
Suitable For:Cosmetics
Dimension (LxBxH in cm):20/10/5
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL331879411",,1
2026-06-01 11:52:12,Accessories,(All),Aksmit Pack Of-1 Car Gear Knob Protector Silicone Gear Shifter Cover for Anti-Scratch Car Gear Knob Cover and Dust Proof Nonslip Gear Cover for Car Universal Fit Silicon Car Gear Knob Stylish- Hockey (Black),Aksmit,Rs. 223,Rs. 299,25% Off,(88),4.3,88,0,Unspecified,In Stock,,https://www.snapdeal.com/product/aksmit-pack-of1-car-gear/649073966100,,"https://g.sdlcdn.com/imgs/k/5/y/Aksmit-Pack-Of-1-Car-SDL477073512-1-6da7e.png, https://g.sdlcdn.com/imgs/k/5/y/Aksmit-Pack-Of-1-Car-SDL477073512-2-9aa9a.png, https://g.sdlcdn.com/imgs/k/5/y/Aksmit-Pack-Of-1-Car-SDL477073512-3-3db81.png, https://g.sdlcdn.com/imgs/k/5/y/Aksmit-Pack-Of-1-Car-SDL477073512-4-24b64.png, https://g.sdlcdn.com/imgs/k/5/y/Aksmit-Pack-Of-1-Car-SDL477073512-5-60557.png, https://g.sdlcdn.com/imgs/k/5/y/Aksmit-Pack-Of-1-Car-SDL477073512-6-2663b.png, https://g.sdlcdn.com/imgs/k/5/y/Aksmit-Pack-Of-1-Car-SDL477073512-7-7d1ba.png, https://g.sdlcdn.com/imgs/k/5/y/Aksmit-Pack-Of-1-Car-SDL477073512-8-398a4.png",,"AKSMIT
Colour:Black
Box Contents:Aksmit International 2794, 3rd Floor, Old Bus Stand Road New Delhi-110035
Easy installation
Superior Quality
Product Weight (g):100
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:Universal Car Gear Knob Protector Silicone Gear Shifter Cover
SUPC: SDL477073512",,1
2026-06-01 11:52:16,Accessories,(All),"KTU Car Plastic Backseat Headrest Hook/Hanger Universal Durable Organiser Space Saver for Handbag, Wallets, Grocery Bags (Black, Pack of 4)",KTU,Rs. 133,Rs. 499,73% Off,(575),4.1,575,0,Unspecified,In Stock,,https://www.snapdeal.com/product/ktu-for/640672956149,,"https://g.sdlcdn.com/imgs/k/z/z/KTU_for_SDL951125272_1_a47e0-1fdf1.jpg, https://g.sdlcdn.com/imgs/k/c/3/KTU-for-SDL951125272-1-a47e0.jpg, https://g.sdlcdn.com/imgs/k/c/3/KTU-for-SDL951125272-2-92c45.jpg, https://g.sdlcdn.com/imgs/k/c/3/KTU-for-SDL951125272-3-5f182.jpg, https://g.sdlcdn.com/imgs/k/c/3/KTU-for-SDL951125272-4-152a4.jpg, https://g.sdlcdn.com/imgs/k/c/3/KTU-for-SDL951125272-5-df664.jpg, https://g.sdlcdn.com/imgs/k/c/3/KTU-for-SDL951125272-6-5741b.jpg, https://g.sdlcdn.com/imgs/k/c/3/KTU-for-SDL951125272-7-436c3.jpg",,"KTU
Foldable:No
Material : Plastic
SUPC: SDL951125272",,1
2026-06-01 11:52:20,Accessories,(All),"Aksmit Waterproof and Non-slip Leather Floor Mats, Car Floor Mat Accessories, Black gold",Aksmit,"Rs. 1,371","Rs. 1,699",19% Off,(3),5.0,3,0,Unspecified,In Stock,,https://www.snapdeal.com/product/aksmit-waterproof-and-nonslip-leather/666551182498,,"https://g.sdlcdn.com/imgs/l/a/6/Aksmit-Waterproof-and-Non-slip-SDL433584105-1-52d7a.png, https://g.sdlcdn.com/imgs/l/a/6/Aksmit-Waterproof-and-Non-slip-SDL433584105-2-4f2f6.png, https://g.sdlcdn.com/imgs/l/a/6/Aksmit-Waterproof-and-Non-slip-SDL433584105-3-27370.png, https://g.sdlcdn.com/imgs/l/a/6/Aksmit-Waterproof-and-Non-slip-SDL433584105-4-fd4fb.png, https://g.sdlcdn.com/imgs/l/a/6/Aksmit-Waterproof-and-Non-slip-SDL433584105-5-3393d.png, https://g.sdlcdn.com/imgs/l/a/6/Aksmit-Waterproof-and-Non-slip-SDL433584105-6-8d1ac.png, https://g.sdlcdn.com/imgs/l/a/6/Aksmit-Waterproof-and-Non-slip-SDL433584105-7-55464.png",,"Type:7D
Material:Rubber Noodles
Colour:Black
Car Make:All Car Makes
Car Model:All Car Models
No. of Units:Set of 5
Waterproof
Non-slip Leather Floor Mats
High-Quality Mat
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:Aksmit International 2794, 3rd Floor, Old Bus Stand Road New Delhi-110035
SUPC: SDL433584105",,1
2026-06-01 11:52:24,Accessories,(All),Ezybe Self Adhesive Kichen Shelf Light Blue Plastic Storage Racks (Pack of 2),Ezybe,Rs. 217,Rs. 999,78% Off,(3747),4.0,3747,0,Unspecified,In Stock,,https://www.snapdeal.com/product/kitchen-shelf-storage-rack-self/651274312796,https://g.sdlcdn.com/imgs/k/n/1/Ezybe-Light-Blue-Plastic-Storage-SDL913297927-1-af867.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/n/1/Ezybe-Light-Blue-Plastic-Storage-SDL913297927-1-af867.jpg, https://g.sdlcdn.com/imgs/k/n/1/Ezybe-Light-Blue-Plastic-Storage-SDL913297927-2-8852a.jpg, https://g.sdlcdn.com/imgs/k/n/1/Ezybe-Light-Blue-Plastic-Storage-SDL913297927-3-42946.jpg, https://g.sdlcdn.com/imgs/k/n/1/Ezybe-Light-Blue-Plastic-Storage-SDL913297927-4-7d33a.jpg",,"Type:Storage Racks
Material:Plastic
Color:Light Blue
No. Of Compartment:1
Assembly Instructions:clean the wall, tear off the protective film of sticker, stick on the wall and press firmly.
Weight Carrying Capacity (g):1000
Handling & Care Instructions:can also be used to filter water for dishes or other kitchenware.
Warranty:Not Available
Disclaimer:The images represent actual product though color of the image and product may slightly differ.
Product Height (cm):7
Product Length (cm):25
Product Width (cm):11
Product Weight (g):200
Key Features:Wall Mount
Pack:Pack of 2
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL913297927",,1
2026-06-01 11:52:27,Accessories,(All),"SIAGO Car Armrest Cover Cushion with 2 Storage Bags - Soft, Comfortable, Non-Slip Protector for Vehicle Center Console - Waterproof, Durable, and Stylish",SIAGO,Rs. 361,"Rs. 1,499",76% Off,(38),4.1,38,0,Unspecified,In Stock,,https://www.snapdeal.com/product/siago-car-armrest-cover-cushion/667587234331,https://g.sdlcdn.com/imgs/k/0/h/SIAGO-Car-Armrest-Cover-Cushion-SDL010373464-1-f08b5.jpg?w=220&h=258&sharp=7,https://g.sdlcdn.com/imgs/k/0/h/SIAGO-Car-Armrest-Cover-Cushion-SDL010373464-1-f08b5.jpg,,"SIAGO
Position:Front Seat
Surface Material:Leather
Colour:Brown
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:Car Arm-rest Cover
SUPC: SDL010373464",,1
2026-06-01 11:52:31,Accessories,(All),PENYAN Dashboard Fan Black,PENYAN,Rs. 525,"Rs. 1,299",60% Off,(3),4.3,3,0,Unspecified,In Stock,,https://www.snapdeal.com/product/penyan-dashboard-fan-black/669079348903,https://g.sdlcdn.com/imgs/k/5/e/PENYAN-Dashboard-Fan-Black-SDL885146085-1-a71a9.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/5/e/PENYAN-Dashboard-Fan-Black-SDL885146085-1-a71a9.jpg, https://g.sdlcdn.com/imgs/k/5/e/PENYAN-Dashboard-Fan-Black-SDL885146085-2-76f03.jpg, https://g.sdlcdn.com/imgs/k/5/e/PENYAN-Dashboard-Fan-Black-SDL885146085-3-7c607.jpg, https://g.sdlcdn.com/imgs/k/5/e/PENYAN-Dashboard-Fan-Black-SDL885146085-4-1b638.jpg",,"PENYAN
Type:Dashboard Fan
Colour:Black
Rotation:Yes
Variable Speed Selection:No
Cable Included:Yes
Cable Length (m):1
Box Contents: 1 single face fan with car lighter socket wire attachment and double tape
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:single_fan
SUPC: SDL885146085",,1
2026-06-01 11:52:34,Accessories,(All),RONISH Steering Cover Leatherite,RONISH,Rs. 395,Rs. 999,60% Off,(100),4.4,100,0,Unspecified,In Stock,,https://www.snapdeal.com/product/ronish-steering-cover-leatherite/647088131493,https://g.sdlcdn.com/imgs/k/0/o/RONISH-Steering-Cover-Leatherite-SDL418529339-1-e3e56.jpg?w=220&h=258&sharp=7,https://g.sdlcdn.com/imgs/k/0/o/RONISH-Steering-Cover-Leatherite-SDL418529339-1-e3e56.jpg,,"RONISH
Material:Leatherite
Colour:Black
Pattern:Solid Colour
Car Make:All Car Makes
Car Model:All Car Models
Box Contents:1
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:BLK_6G_UNI02
SUPC: SDL418529339",,1
2026-06-01 11:52:37,Accessories,(All),Anshri White Plastic Storage Racks ( Pack of 4 ),Anshri,Rs. 250,Rs. 999,75% Off,(277),4.0,277,0,Unspecified,In Stock,,https://www.snapdeal.com/product/anshri-white-plastic-storage-racks/636623008371,https://g.sdlcdn.com/imgs/k/4/z/Anshri-White-Plastic-Storage-Racks-SDL158288851-1-82b79.jpg?w=220&h=258&sharp=7,https://g.sdlcdn.com/imgs/k/4/z/Anshri-White-Plastic-Storage-Racks-SDL158288851-1-82b79.jpg,,"Type:Storage Racks
Material:Plastic
Color:White
Weight Carrying Capacity (g):1000
Warranty:Not Available
Key Features:Wall Mount
Pack:Pack of 4
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:Multi Purpose Self Adhvishive rack
SUPC: SDL158288851",,1
2026-06-01 11:52:41,Accessories,(All),"Premium Metal Key Cover Compitable for Suzuki Swift|Ertiga|Wagonr|Celerio|Swift Dzire|Alto|Fronx|Breza|S Presso|Ignis 2 Button Remote Key, Brown and Black",Premium,Rs. 428,Rs. 799,46% Off,(51),4.4,51,0,Unspecified,In Stock,,https://www.snapdeal.com/product/premium-metal-key-cover-compitable/671445696005,https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-1-d93ee.png?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-1-d93ee.png, https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-2-a50dc.png, https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-3-3ae2b.png, https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-4-1b700.png, https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-5-2c284.png, https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-6-5a33c.png, https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-7-0bae0.png, https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-8-be723.png, https://g.sdlcdn.com/imgs/k/5/m/Premium-Metal-Key-Cover-Compitable-SDL493338419-9-6446a.jpg",,"AKSMIT
Material:Metal Alloy
Colour:Black
Car Make:Maruti Suzuki
Car Model:Alto 800 (2000 - 2012)
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:Aksmit International 2794, 3rd Floor, Old Bus Stand Road New Delhi-110035
SUPC: SDL493338419",,1
2026-06-01 11:52:46,Accessories,(All),"Shoe Bag for Travel & Storage - Organizer for Women & Men, Accessories, Shoe Cover",Shoe,Rs. 149,Rs. 549,73% Off,(289),4.6,289,0,Female,In Stock,,https://www.snapdeal.com/product/shoe-bag-for-travel-storage/621582660721,https://g.sdlcdn.com/imgs/l/b/d/Shoe-Bag-for-Travel-Storage-SDL443589760-1-d1f97.jpeg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/l/b/d/Shoe-Bag-for-Travel-Storage-SDL443589760-1-d1f97.jpeg, https://g.sdlcdn.com/imgs/l/b/d/Shoe-Bag-for-Travel-Storage-SDL443589760-2-a5a8e.jpg, https://g.sdlcdn.com/imgs/l/b/d/Shoe-Bag-for-Travel-Storage-SDL443589760-3-1d5a8.jpg, https://g.sdlcdn.com/imgs/l/b/d/Shoe-Bag-for-Travel-Storage-SDL443589760-4-ae253.png, https://g.sdlcdn.com/imgs/l/b/d/Shoe-Bag-for-Travel-Storage-SDL443589760-5-f236f.jpg, https://g.sdlcdn.com/imgs/l/b/d/Shoe-Bag-for-Travel-Storage-SDL443589760-6-e54d4.png",,"VillWin
Type:Shoe Organizers
Material:Non Woven
No. Of Compartment:1
No. of Pieces:5
Box Contents:05 pcs Shoe Bag for Travel & Storage
Pack:Pack of 5
Suitable For:Wardrobe
Dimension (LxBxH in cm):12x16
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL443589760",,1
2026-06-01 11:52:50,Accessories,(All),"Premium Car Seat Belt Cover - Comfort & Safety Enhancer - Adjustable, Soft, & Stylish - Universal Fit for All Vehicles",Premium,Rs. 278,Rs. 999,72% Off,(20),4.3,20,0,Unspecified,In Stock,,https://www.snapdeal.com/product/tantra-seat-belt-cover-black/634968097571,https://g.sdlcdn.com/imgs/k/y/i/Tantra-Seat-Belt-Cover-Brown-SDL337962778-1-af1fc.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/y/i/Tantra-Seat-Belt-Cover-Brown-SDL337962778-1-af1fc.jpg, https://g.sdlcdn.com/imgs/k/y/i/Tantra-Seat-Belt-Cover-Brown-SDL337962778-2-558ff.jpg, https://g.sdlcdn.com/imgs/k/y/i/Tantra-Seat-Belt-Cover-Brown-SDL337962778-3-3e920.jpg, https://g.sdlcdn.com/imgs/k/y/i/Tantra-Seat-Belt-Cover-Brown-SDL337962778-4-5a9a2.jpg, https://g.sdlcdn.com/imgs/k/y/i/Tantra-Seat-Belt-Cover-Brown-SDL337962778-5-20f19.jpg, https://g.sdlcdn.com/imgs/k/y/i/Tantra-Seat-Belt-Cover-Brown-SDL337962778-6-c062b.jpg, https://g.sdlcdn.com/imgs/k/y/i/Tantra-Seat-Belt-Cover-Brown-SDL337962778-7-8f728.jpg, https://g.sdlcdn.com/imgs/k/y/i/Tantra-Seat-Belt-Cover-Brown-SDL337962778-8-69c6f.jpg",,"Tantra
Colour:Brown
No. of Units:Single
Material:Leather
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:Car Seat Belt Cover
SUPC: SDL337962778",,1
2026-06-01 11:52:53,Accessories,(All),CAMPARK Car Tissue Dispenser Leather Beige,CAMPARK,Rs. 221,Rs. 999,78% Off,,0.0,0,0,Unspecified,In Stock,,https://www.snapdeal.com/product/campark-car-tissue-dispenser-leather/663573132018,https://g.sdlcdn.com/imgs/k/3/w/CAMPARK-Car-Tissue-Dispenser-Leather-SDL179741607-1-ea4dd.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/3/w/CAMPARK-Car-Tissue-Dispenser-Leather-SDL179741607-1-ea4dd.jpg, https://g.sdlcdn.com/imgs/k/3/w/CAMPARK-Car-Tissue-Dispenser-Leather-SDL179741607-2-33571.jpg, https://g.sdlcdn.com/imgs/k/3/w/CAMPARK-Car-Tissue-Dispenser-Leather-SDL179741607-3-81e56.jpg, https://g.sdlcdn.com/imgs/k/3/w/CAMPARK-Car-Tissue-Dispenser-Leather-SDL179741607-4-c804a.jpg, https://g.sdlcdn.com/imgs/k/3/w/CAMPARK-Car-Tissue-Dispenser-Leather-SDL179741607-5-f781d.jpg",,"CAMPARK
Material:Leather
Colour:Beige
Tissues Included:No
Graphics:No
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:Tissue_Holder_Beige
SUPC: SDL179741607",,1
2026-06-01 11:52:57,Accessories,(All),AKSMIT Gear Knob Metallic for 5 Speed Gear,AKSMIT,Rs. 827,"Rs. 1,299",36% Off,,0.0,0,0,Unspecified,In Stock,,https://www.snapdeal.com/product/aksmit-gear-knob-metallic-for/676686324581,https://g.sdlcdn.com/imgs/l/b/t/AKSMIT-Gear-Knob-Metallic-for-SDL526141803-1-335a7.png?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/l/b/t/AKSMIT-Gear-Knob-Metallic-for-SDL526141803-1-335a7.png, https://g.sdlcdn.com/imgs/l/b/t/AKSMIT-Gear-Knob-Metallic-for-SDL526141803-2-1b63a.png, https://g.sdlcdn.com/imgs/l/b/t/AKSMIT-Gear-Knob-Metallic-for-SDL526141803-3-079fd.png, https://g.sdlcdn.com/imgs/l/b/t/AKSMIT-Gear-Knob-Metallic-for-SDL526141803-4-130b4.png, https://g.sdlcdn.com/imgs/l/b/t/AKSMIT-Gear-Knob-Metallic-for-SDL526141803-5-dac5a.png, https://g.sdlcdn.com/imgs/l/b/t/AKSMIT-Gear-Knob-Metallic-for-SDL526141803-6-4851b.png",,"AKSMIT
Colour:Black
Box Contents:1 x car gear knob
Surface Material:Metallic
Car Make:All Car Makes
Car Model:All Car Models
Gear Type:5 Speed
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL526141803",,1
2026-06-01 11:53:00,Accessories,(All),ECORANE® Portable High purity good Propane r290 refigerant Gas canister suitable for use in a range of refrigeration and air conditioning applications. (150gm) (1),ECORANE®,Rs. 338,Rs. 500,32% Off,(34),4.5,34,0,Unspecified,In Stock,,https://www.snapdeal.com/product/ecorane-portable-high-purity-good/666070065096,https://g.sdlcdn.com/imgs/j/q/s/ECORANE-Portable-High-purity-good-SDL081611335-1-a54a9.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/j/q/s/ECORANE-Portable-High-purity-good-SDL081611335-1-a54a9.jpg, https://g.sdlcdn.com/imgs/j/q/s/ECORANE-Portable-High-purity-good-SDL081611335-2-b70d4.jpg, https://g.sdlcdn.com/imgs/j/q/s/ECORANE-Portable-High-purity-good-SDL081611335-3-13f57.jpg, https://g.sdlcdn.com/imgs/j/q/s/ECORANE-Portable-High-purity-good-SDL081611335-4-59e2f.jpg, https://g.sdlcdn.com/imgs/j/q/s/ECORANE-Portable-High-purity-good-SDL081611335-5-52bb6.jpg",,"Type:Others
Warranty:Not Available
SUPC: SDL081611335",,1
2026-06-01 11:53:04,Accessories,(All),Bhavyta Door Guard Rubber Black,Bhavyta,Rs. 205,Rs. 799,74% Off,(37),4.1,37,0,Unspecified,In Stock,,https://www.snapdeal.com/product/bhavyta-door-guard-rubber-black/684942990648,https://g.sdlcdn.com/imgs/k/9/f/Bhavyta-Door-Guard-Rubber-Black-SDL853213272-1-3d8d4.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/9/f/Bhavyta-Door-Guard-Rubber-Black-SDL853213272-1-3d8d4.jpg, https://g.sdlcdn.com/imgs/k/9/f/Bhavyta-Door-Guard-Rubber-Black-SDL853213272-2-0a251.jpg, https://g.sdlcdn.com/imgs/k/9/f/Bhavyta-Door-Guard-Rubber-Black-SDL853213272-3-50fc0.jpg, https://g.sdlcdn.com/imgs/k/9/f/Bhavyta-Door-Guard-Rubber-Black-SDL853213272-4-a5c1b.jpg, https://g.sdlcdn.com/imgs/k/9/f/Bhavyta-Door-Guard-Rubber-Black-SDL853213272-5-15312.jpg, https://g.sdlcdn.com/imgs/k/9/f/Bhavyta-Door-Guard-Rubber-Black-SDL853213272-6-bbd0c.jpg, https://g.sdlcdn.com/imgs/k/9/f/Bhavyta-Door-Guard-Rubber-Black-SDL853213272-7-2db86.jpg",,"Bhavyta
Material:Rubber
Colour:Black
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL853213272",,1
2026-06-01 11:53:08,Accessories,(All),NISKO Silver Steel Rolling Pin Holder ( Pack of 1 ),NISKO,Rs. 274,"Rs. 1,299",79% Off,(1),4.0,1,0,Unspecified,In Stock,,https://www.snapdeal.com/product/nisko-silver-steel-rolling-pin/684398433466,,"https://g.sdlcdn.com/imgs/l/m/w/NISKO-Silver-Steel-Rolling-Pin-SDL733483895-1-8d1df.jpg, https://g.sdlcdn.com/imgs/l/m/w/NISKO-Silver-Steel-Rolling-Pin-SDL733483895-2-c0911.jpg, https://g.sdlcdn.com/imgs/l/m/w/NISKO-Silver-Steel-Rolling-Pin-SDL733483895-3-acdc4.jpg, https://g.sdlcdn.com/imgs/l/m/w/NISKO-Silver-Steel-Rolling-Pin-SDL733483895-4-4b4a0.jpg",,"NISKO
Type:Rolling Pin Holder
Material:Steel
Color:Silver
Weight Carrying Capacity (g):3000
Warranty:Not Available
Key Features:Rust Resistant
Pack:Pack of 1
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:chakla belan round
SUPC: SDL733483895",,1
2026-06-01 11:53:12,Accessories,(All),"Radhe Creation 2 Fold Automatic Umbrella For Rain Sun Wind ( Multi , Solid Design )",Radhe,Rs. 364,Rs. 999,64% Off,(149),3.6,149,0,Unspecified,In Stock,,https://www.snapdeal.com/product/radhe-creation-multi-hands-free/660267549275,,"https://g.sdlcdn.com/imgs/k/7/g/Radhe-Creation-Multi-Hand-s-SDL027195373-1-789f1.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-10-dbd55.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-3-84aef.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-4-cc550.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-5-28a75.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-6-e3566.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-7-8cbb0.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-8-7d07d.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-9-09f97.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-1-435e0.jpg, https://g.sdlcdn.com/imgs/k/6/h/Radhe-Creation-Multi-Hand-s-SDL027195373-2-cc004.jpg",,"Radhe Creation
Color:Multi
Design:Solid Design
Gender:Women
Style Code/Name:umbrella women, umbrella offers, umbrella men, umbrella low price, umbrella design, travel umbrella
No. of Items inside:4
Size:Regular Size
Fold:2 Fold
Mechanism:Automatic
Umbrella Type:Umbrella For Rain Sun Wind
Pack of:Pack of 1
BIS/ISI required:NA
BIS/ISI License number:NA
SUPC: SDL027195373",,1
2026-06-01 11:53:17,Accessories,(All),67W Fast Charger for MI Xiomi Redmi & other Type C Smartphones Rapid Charging with Qualcomm Quick Charge 3.0 SuperVOOC includes USB Type-C 6A Cable,67W,Rs. 351,"Rs. 1,999",82% Off,(350),3.7,350,0,Unspecified,In Stock,,https://www.snapdeal.com/product/avista-usb-54a-wall-charger/650721089424,,"https://g.sdlcdn.com/imgs/k/x/9/Avista-USB-5-4A-Wall-SDL168060083-1-fa8c4.jpg, https://g.sdlcdn.com/imgs/k/x/9/Avista-USB-5-4A-Wall-SDL168060083-2-74c5f.jpg, https://g.sdlcdn.com/imgs/k/x/9/Avista-USB-5-4A-Wall-SDL168060083-3-701ea.jpg, https://g.sdlcdn.com/imgs/k/x/9/Avista-USB-5-4A-Wall-SDL168060083-4-77efd.jpg, https://g.sdlcdn.com/imgs/k/x/9/Avista-USB-5-4A-Wall-SDL168060083-5-ac85c.jpg, https://g.sdlcdn.com/imgs/k/x/9/Avista-USB-5-4A-Wall-SDL168060083-6-526ff.jpg",,"Avista
Type:Wall Charger
Cable Length (m):1
Output Ampere:6A
Warranty:3 Months
Compatible model:Mi, Oppo, Vivo, Oneplus, Samsung, Xiomi, Google, other Type C charging Smartphones
Color:White
In the Box Contents:1 Charging Adapter, 1 Cable
Cable Type:USB
Detachable Cable:Yes
Connectors:Adapter Out USB, Cable USB to Type C
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:SV67-W
SUPC: SDL168060083",,1
